"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000116678",32.5700277458188,-1.73833337217461,1.43811633803215,-1.20875712639025,0.226756167402382,0.996810201750359
"ENSG00000152332",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000151353",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000138031",22.7569148846146,-0.336879747402721,1.46504211295586,-0.229945435986843,0.8181341693397,0.996810201750359
"ENSG00000115138",41.5400554916377,-0.820919675738646,1.38948833166016,-0.590807174866887,0.554649627062978,0.996810201750359
"ENSG00000119737",31.341928757524,-0.101738605504603,1.42509775534265,-0.0713906152214386,0.943086878521285,0.996810201750359
"ENSG00000118257",29.1475485551829,0.0806645127413727,1.43803479424681,0.0560935751096494,0.955267262201454,0.996810201750359
"ENSG00000175161",45.6988436421385,0.747187427842687,1.40959446389176,0.530072618034956,0.596061583101271,0.996810201750359
"ENSG00000239519",0.398126734113677,1.81757244934968,4.33708761881084,0.419076719009893,0.675160064555895,0.996810201750359
"ENSG00000132170",30.9400554916377,0.105427072996049,1.42966818944823,0.0737423367003348,0.941215410659837,0.996810201750359
"ENSG00000169855",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000138688",31.5400554916377,0.0551508025232207,1.42618494300864,0.0386701618142709,0.969153363030781,0.996810201750359
"ENSG00000175426",41.5400554916377,-0.820919675738646,1.38948833166016,-0.590807174866887,0.554649627062978,0.996810201750359
"ENSG00000173250",63.2801109832753,-0.062937775401991,1.3661346528115,-0.0460699648255501,0.963254485177085,0.996810201750359
"ENSG00000164463",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000113140",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000112246",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000024048",31.1400554916377,0.0748941851152867,1.4267703589855,0.052492108939339,0.958136582822208,0.996810201750359
"ENSG00000118432",62.2801109832753,0.0675092743128122,1.36788810887702,0.0493529213937202,0.960638045694223,0.996810201750359
"ENSG00000217512",0.598126734113677,-0.0135803377506582,3.39692736353881,-0.00399782989074886,0.996810201750359,0.996810201750359
"ENSG00000146247",26.7494218210693,0.259640147061702,1.45336720063017,0.178647314284459,0.858214640627834,0.996810201750359
"ENSG00000135324",26.3438020234103,0.205869231574521,1.5141018055197,0.135967892531413,0.891846663249936,0.996810201750359
"ENSG00000004948",31.5400554916377,-0.0332490481159312,1.42447705840752,-0.0233412310290919,0.981378083057717,0.996810201750359
"ENSG00000174697",45.2950971103659,0.749184108982792,1.40955002279003,0.531505868447206,0.595068275749128,0.996810201750359
"ENSG00000148053",46.2950971103659,0.793786099149927,1.40889514828605,0.563410343286074,0.573155495603585,0.996810201750359
"ENSG00000152270",28.7456752892966,-0.0801106742431877,1.4394807714722,-0.0556524795821038,0.95561865659093,0.996810201750359
"ENSG00000176697",41.7007169080249,0.856370342181371,1.41886829875484,0.603558725593416,0.546137060931016,0.996810201750359
"ENSG00000182985",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000273012",0.598126734113677,4.70609700205987,4.19673816699709,1.12137017245163,0.26213032709984,0.996810201750359
"ENSG00000099250",26.7475485551829,-0.339677185568699,1.4464966898712,-0.234827489027262,0.814342631078931,0.996810201750359
"ENSG00000151572",29.941928757524,0.174440181026139,1.43941249331432,0.121188458371986,0.903541765622297,0.996810201750359
"ENSG00000171435",30.141928757524,0.062679468335665,1.43332512507869,0.0437301120582979,0.965119536217769,0.996810201750359
"ENSG00000100578",31.1400554916377,-0.0362496444531757,1.42513410858078,-0.0254359531744525,0.97970723389145,0.996810201750359
"ENSG00000261630",0.2,0.597819265330984,4.57531634333191,0.130661842913277,0.89604281844019,0.996810201750359
"ENSG00000280392",1.39812673411368,-1.92801039010391,2.86050275948028,-0.674011022612755,0.500304305936806,0.996810201750359
"ENSG00000159723",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000178188",41.3400554916377,-0.830035236235011,1.38973258029325,-0.597262558282879,0.55033209812625,0.996810201750359
"ENSG00000140718",8.58314060702309,1.19936262732664,1.87317010684491,0.640284949532318,0.521987363599006,0.996810201750359
"ENSG00000166603",19.1400554916377,1.71362425286817,1.68357890631445,1.01784611724525,0.308751091727881,0.996810201750359
"ENSG00000010310",29.5494218210693,-0.226278368530811,1.43282449692914,-0.157924692811839,0.874516140173567,0.996810201750359
"ENSG00000105186",31.9400554916377,-0.0135671496621659,1.42382498123963,-0.00952866387437164,0.992397341257518,0.996810201750359
"ENSG00000142002",27.3400554916377,0.446747746209371,1.44689746935515,0.308762545841259,0.757502162000452,0.996810201750359
